Unnamed: 0,segment_id,session_id,topic_id,query,query_order,segment_starttime,session_end_time,num_click_doc,num_relevant_doc,num_key_doc,total_dwell_time,ave_click_rank,click_depth,num_of_click3,num_of_click5,num_of_click10,segment_endtime,session_end,query_dwell_time,search_engine_dwell_time,ave_dwell_time,click_precision,time_to_first_last_click,query_len,reciporal_rank,time_first_click,ratio_first_click,average_relevance_score,irrelevant_docs_30num,last_query,new_unique_query_terms_num,query_similarity,average_content_page_dwell_time1_3,average_content_page_dwell_time1_5,average_content_page_dwell_time6_10
0,1,1,1,US civil war causes,1,99.39600300000001,170.43276799999998,1,0,0,9.088831999999996,1.0,1.0,1.0,1.0,0.0,170.43276799999998,1,71.03676500000002,61.94793300000002,9.088831999999996,0.0,9.088831999999996,19,11,143.512957,2.0202631271286067,0.0,0,,1.0,0.0,9.088831999999996,9.088831999999996,
1,2,2,2,scooter brands,1,79.932316,702.515041,2,1,0,74.46181700000002,5.666666666666668,6.0,0.0,1.0,1.0,229.26272000000003,0,149.33040400000002,74.86858699999998,37.23090850000001,0.5,74.46181700000002,14,11,111.71770900000001,0.7481243337425111,0.3333333333333333,1,,1.0,0.0,,20.355795,54.10602200000001
2,3,2,2,scooter brands reliable,2,229.26272000000003,702.515041,1,0,0,13.55684500000001,32.0,32.0,0.0,0.0,0.0,259.409574,0,30.14685400000002,16.59000900000001,13.55684500000001,0.0,13.55684500000001,23,11,245.852729,8.155170320591324,0.0,0,scooter brands,0.3333333333333333,0.6666666666666666,,,
3,4,2,2,scooter,3,259.409574,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,303.478829,0,44.069255,44.069255,0.0,0.0,0.0,7,11,,1.0,0.0,0,scooter brands reliable,0.0,0.3333333333333333,,,
4,5,2,2,scooter cheap,4,303.478829,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,338.97859900000003,0,35.499769999999955,35.499769999999955,0.0,0.0,0.0,13,11,,1.0,0.0,0,scooter,0.5,0.5,,,
5,6,2,2,scooter review,5,338.97859900000003,702.515041,1,2,0,208.27765800000003,4.0,4.0,0.0,1.0,0.0,623.642152,0,284.6635530000001,76.38589499999999,208.27765800000003,2.0,208.27765800000003,14,11,415.364494,1.4591418171472057,1.0,0,scooter cheap,0.3333333333333333,0.3333333333333333,,208.27765800000003,
6,7,2,2,scooter price,6,623.642152,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,645.962243,0,22.320090999999934,22.320090999999934,0.0,0.0,0.0,13,11,,1.0,0.0,0,scooter review,0.3333333333333333,0.3333333333333333,,,
7,8,2,2,scooter price,7,645.962243,702.515041,1,1,0,33.604768000000035,1.0,1.0,1.0,1.0,0.0,690.053255,0,44.0910120000001,10.486244000000058,33.604768000000035,1.0,33.604768000000035,13,11,656.448487,14.88848763552986,1.0,0,scooter price,0.0,1.0,33.604768000000035,33.604768000000035,
8,9,2,2,scooter stores,8,690.053255,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,702.515041,1,12.461785999999963,12.461785999999963,0.0,0.0,0.0,14,11,,1.0,0.0,0,scooter price,0.3333333333333333,0.3333333333333333,,,
9,10,3,6,heart attack causes,1,40.173524,106.66824799999999,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,62.943893,0,22.770369,22.770369,0.0,0.0,0.0,19,11,,1.0,0.0,0,,1.0,0.0,,,
