,Unnamed: 0,segment_id,session_id,topic_id,query,query_order,segment_starttime,session_end_time,num_click_doc,num_relevant_doc,num_key_doc,total_dwell_time,ave_click_rank,click_depth,num_of_click3,num_of_click5,num_of_click10,segment_endtime,session_end,query_dwell_time,search_engine_dwell_time,ave_dwell_time,click_precision,time_to_first_last_click,query_len,reciporal_rank,time_first_click,ratio_first_click,average_relevance_score,irrelevant_docs_30num,last_query,new_unique_query_terms_num,query_similarity,average_content_page_dwell_time1_3,average_content_page_dwell_time1_5,average_content_page_dwell_time6_10,dcg3,dcg5,dcg10,ndcg3,ndcg5,ndcg10,precision3,precision5,precision10
0,0,1,1,1,US civil war causes,1,99.396003,170.43276799999995,1,0,0,9.088831999999996,1.0,1.0,1.0,1.0,0.0,170.43276799999995,1,71.03676500000002,61.94793300000002,9.088831999999996,0.0,9.088831999999996,19,11,143.512957,2.0202631271286067,0.0,0,,1.0,0.0,9.088831999999996,9.088831999999996,,0.0,0.0,-0.23659865758929652,0.0,0.0,1.0913291693220692,0.0,0.0,0.0
1,1,2,2,2,scooter brands,1,79.932316,702.515041,2,1,0,74.46181700000002,5.666666666666668,6.0,0.0,1.0,1.0,229.26272000000003,0,149.33040400000004,74.86858699999998,37.23090850000001,0.5,74.46181700000002,14,11,111.717709,0.7481243337425111,0.3333333333333333,1,,1.0,0.0,,20.355795,54.10602200000001,0.0,0.8175293653079347,1.1185593609719158,0.0,0.3836491390379003,0.5249161118977292,0.0,0.4,0.3
2,2,3,2,2,scooter brands reliable,2,229.26272000000003,702.515041,1,0,0,13.55684500000001,32.0,32.0,0.0,0.0,0.0,259.409574,0,30.14685400000002,16.59000900000001,13.55684500000001,0.0,13.55684500000001,23,11,245.852729,8.155170320591324,0.0,0,scooter brands,0.3333333333333333,0.6666666666666666,,,,1.0,1.0,1.64527201342591,0.46927872602275655,0.3391602052736162,0.3621108234757073,0.3333333333333333,0.2,0.3
3,3,4,2,2,scooter,3,259.409574,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,303.478829,0,44.069255,44.069255,0.0,0.0,0.0,7,11,,1.0,0.0,0,scooter brands reliable,0.0,0.3333333333333333,,,,0.0,0.43067655807339306,2.023307065506692,0.0,0.09441335543884259,0.44355144378452865,0.0,0.2,0.4
4,4,5,2,2,scooter cheap,4,303.478829,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,338.9785990000001,0,35.499769999999955,35.499769999999955,0.0,0.0,0.0,13,11,,1.0,0.0,0,scooter,0.5,0.5,,,,2.5,3.3175293653079345,4.912629584516888,0.6051906348295047,0.6704166459920575,0.7854558950002614,0.6666666666666666,0.8,0.9
5,5,6,2,2,scooter review,5,338.9785990000001,702.515041,1,2,0,208.27765800000003,4.0,4.0,0.0,1.0,0.0,623.642152,0,284.6635530000001,76.38589499999998,208.27765800000003,2.0,208.27765800000003,14,11,415.364494,1.4591418171472057,1.0,0,scooter cheap,0.3333333333333333,0.3333333333333333,,208.27765800000003,,2.1309297535714573,2.56160631164485,3.8233731975204703,1.0,0.8687949224876582,0.9670943502702473,1.0,0.8,0.8
6,6,7,2,2,scooter price,6,623.642152,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,645.962243,0,22.320090999999934,22.320090999999934,0.0,0.0,0.0,13,11,,1.0,0.0,0,scooter review,0.3333333333333333,0.3333333333333333,,,,2.1309297535714573,2.948459118879392,3.939029634984729,1.0,1.0,0.9963488021549354,1.0,1.0,0.8
7,7,8,2,2,scooter price,7,645.962243,702.515041,1,1,0,33.604768000000035,1.0,1.0,1.0,1.0,0.0,690.053255,0,44.091012000000106,10.486244000000058,33.604768000000035,1.0,33.604768000000035,13,11,656.448487,14.88848763552986,1.0,0,scooter price,0.0,1.0,33.604768000000035,33.604768000000035,,2.1309297535714573,2.948459118879392,3.939029634984729,1.0,1.0,0.9963488021549354,1.0,1.0,0.8
8,8,9,2,2,scooter stores,8,690.053255,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,702.515041,1,12.461785999999965,12.461785999999965,0.0,0.0,0.0,14,11,,1.0,0.0,0,scooter price,0.3333333333333333,0.3333333333333333,,,,0.5,0.5,0.8154648767857287,0.30657359638272924,0.30657359638272924,0.5,0.3333333333333333,0.2,0.2
9,9,10,3,6,heart attack causes,1,40.173524,106.668248,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,62.943893,0,22.770369,22.770369,0.0,0.0,0.0,19,11,,1.0,0.0,0,,1.0,0.0,,,,1.5,2.3175293653079345,3.912629584516888,0.7039180890341348,0.7860137352654725,0.9196461703481418,0.6666666666666666,0.8,0.9
